Philosopher: 0, Time: 1318 ms, picked up fork 0
Philosopher: 0, Time: 1318 ms, picked up fork 1
Philosopher: 0, Time: 1318 ms, entering eating state. Will eat for 30 ms.
Philosopher: 2, Time: 1326 ms, entering hungry state
Philosopher: 2, Time: 1326 ms, picked up fork 2
Philosopher: 2, Time: 1326 ms, picked up fork 3
Philosopher: 2, Time: 1326 ms, entering eating state. Will eat for 26 ms.
Philosopher: 0, Time: 1349 ms, entering thinking state
Philosopher: 2, Time: 1353 ms, entering thinking state
Philosopher: 0, Time: 1360 ms, entering hungry state
Philosopher: 0, Time: 1360 ms, picked up fork 0
Philosopher: 0, Time: 1360 ms, picked up fork 1
Philosopher: 0, Time: 1360 ms, entering eating state. Will eat for 24 ms.
Philosopher: 2, Time: 1364 ms, entering hungry state
Philosopher: 2, Time: 1364 ms, picked up fork 2
Philosopher: 2, Time: 1364 ms, picked up fork 3
Philosopher: 2, Time: 1364 ms, entering eating state. Will eat for 18 ms.
Philosopher: 2, Time: 1383 ms, entering thinking state
Philosopher: 0, Time: 1385 ms, entering thinking state
Philosopher: 2, Time: 1395 ms, entering hungry state
Philosopher: 2, Time: 1395 ms, picked up fork 2
Philosopher: 2, Time: 1395 ms, picked up fork 3
Philosopher: 2, Time: 1395 ms, entering eating state. Will eat for 33 ms.
Philosopher: 0, Time: 1396 ms, entering hungry state
Philosopher: 0, Time: 1396 ms, picked up fork 0
Philosopher: 0, Time: 1396 ms, picked up fork 1
Philosopher: 0, Time: 1396 ms, entering eating state. Will eat for 10 ms.
Philosopher: 0, Time: 1406 ms, entering thinking state
Philosopher: 0, Time: 1417 ms, entering hungry state
Philosopher: 0, Time: 1417 ms, picked up fork 0
Philosopher: 0, Time: 1417 ms, picked up fork 1
Philosopher: 0, Time: 1417 ms, entering eating state. Will eat for 29 ms.
Philosopher: 2, Time: 1429 ms, entering thinking state
Philosopher: 2, Time: 1440 ms, entering hungry state
Philosopher: 2, Time: 1440 ms, picked up fork 2
Philosopher: 2, Time: 1440 ms, picked up fork 3
Philosopher: 2, Time: 1440 ms, entering eating state. Will eat for 14 ms.
Philosopher: 0, Time: 1447 ms, entering thinking state
Philosopher: 2, Time: 1455 ms, entering thinking state
Philosopher: 0, Time: 1458 ms, entering hungry state
Philosopher: 0, Time: 1458 ms, picked up fork 0
Philosopher: 0, Time: 1458 ms, picked up fork 1
Philosopher: 0, Time: 1458 ms, entering eating state. Will eat for 35 ms.
Philosopher: 2, Time: 1465 ms, entering hungry state
Philosopher: 2, Time: 1465 ms, picked up fork 2
Philosopher: 2, Time: 1465 ms, picked up fork 3
Philosopher: 2, Time: 1465 ms, entering eating state. Will eat for 37 ms.
Philosopher: 0, Time: 1493 ms, entering thinking state
Philosopher: 2, Time: 1504 ms, entering thinking state
Philosopher: 0, Time: 1504 ms, entering hungry state
Philosopher: 0, Time: 1504 ms, picked up fork 0
Philosopher: 0, Time: 1504 ms, picked up fork 1
Philosopher: 0, Time: 1504 ms, entering eating state. Will eat for 13 ms.
Philosopher: 3, Time: 1515 ms, picked up fork 3
Philosopher: 2, Time: 1517 ms, entering hungry state
Philosopher: 2, Time: 1517 ms, picked up fork 2
Philosopher: 2, Time: 1517 ms, picked up fork 3
Philosopher: 2, Time: 1517 ms, entering eating state. Will eat for 25 ms.
Philosopher: 0, Time: 1518 ms, entering thinking state
Philosopher: 0, Time: 1529 ms, entering hungry state
Philosopher: 0, Time: 1529 ms, picked up fork 0
Philosopher: 0, Time: 1529 ms, picked up fork 1
Philosopher: 0, Time: 1529 ms, entering eating state. Will eat for 12 ms.
Philosopher: 0, Time: 1544 ms, entering thinking state
Philosopher: 2, Time: 1544 ms, entering thinking state
Philosopher: 1, Time: 1545 ms, picked up fork 1
Philosopher: 1, Time: 1545 ms, picked up fork 2
Philosopher: 1, Time: 1545 ms, entering eating state. Will eat for 32 ms.
Philosopher: 2, Time: 1555 ms, entering hungry state
Philosopher: 0, Time: 1555 ms, entering hungry state
Philosopher: 0, Time: 1555 ms, picked up fork 0
Philosopher: 1, Time: 1578 ms, entering thinking state
Philosopher: 3, Time: 1585 ms, picked up fork 3
Philosopher: 3, Time: 1585 ms, picked up fork 0
Philosopher: 3, Time: 1585 ms, entering eating state. Will eat for 16 ms.
Philosopher: 1, Time: 1590 ms, entering hungry state
Philosopher: 1, Time: 1590 ms, picked up fork 1
Philosopher: 1, Time: 1590 ms, picked up fork 2
Philosopher: 1, Time: 1590 ms, entering eating state. Will eat for 29 ms.
Philosopher: 3, Time: 1603 ms, entering thinking state
